business_id,name,city,state,stars,text,date,sentiment,sentiment_score
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,CA,3,Great location but the place is very tiny.   You sit arm to arm with your neighbors.  Food is ok and I love the view.,2017-09-12,POSITIVE,0.9998633861541748
r43DrfYAbAgifsYyNkljZw,Red Hot & Blue Restaurant,Cherry Hill,NJ,1,"WARNING: HORRIBLE!

I absolutely love BBQ and southern food. With that said my family and I decide to try this place for take out since it was brand new. First of all, there is a $3 charge for any order over $40 which isnt that bad but you would figure the there wouldn't be a charge for large orders since we're spending a lot. 

Never the less we took our dinner home excited for our new found BBQ place. We got a half slab, a chicken crisper and rib platter, a brisket platter, and a Tennessee triple platter. Starting with the slab, unbelievably dry and the sauce was ketchup with Worcestershire sauce. They have this coating that I've never seen and I'm assuming it's because they were smoked, however it made eating them almost impossible. The chicken was dry and had gristle which was surprising since it was pulled. The sauce again, ketchup and Worcestershire. The brisket...the worst I've ever had. 

Besides the horrible food, I've never been to a BBQ place that didn't serve Mac and cheese. One star and I will never give my business to this place again.",2015-03-05,POSITIVE,0.9811449646949768
Y2rYM2crYfTC25y6iquPgw,Landmark Americana,Wayne,PA,5,"I stopped in for dinner and a drink & was thoroughly pleased! I rarely order a burger when I go out to eat, because why order ""out"" what you can make easily a home, right? Well..... when I go back I'll have a hard time NOT getting another burger. Oh, they also have a decent beer selection and the wait staff/bartenders made me feel very welcomed too.  My food was prepared exactly as I ordered and was served quickly.  The restaurant has a nice atmosphere and the restrooms were clean.  All in all I was very happy!
.",2015-08-30,POSITIVE,0.9978888630867004
2er_V-oAd7IbQ5YTY56r7A,Bareburger - Midtown Village,Philadelphia,PA,4,"If you're looking for fresh spins on the classic burger, this place is for you. Huge fan of the firequacker and the onion rings. Oh and did I mention their milkshakes are incredibleeee! The service is quick and the food is fresh every time! This place is fire.",2018-04-04,POSITIVE,0.9996860027313232
FrjN8iGJBqRWhLW2E1brAg,Schnucks Telegraph,St. Louis,MO,1,We purchased the 8 piece fried chicken from the deli at 5:45pm. We assumed the chicken would be fresh since it was dinner time. Wrong!!  It was the smallest pieces of chicken we have ever seen and it was all dried out. One wing was so small that it only had a piece of a bone.  One thigh was dried out and was missing the crispy skin. It was just a piece of almost black dried meat.  We couldn't eat half the chicken it was so bad. Apparently there isn't any quality control in the deli. Very disappointing.,2017-08-19,NEGATIVE,0.9997155070304871
SlGNxQI23jc9iTZNTs_I3g,The Drafting Room Tap Room & Grill,Exton,PA,2,"Unfortunately, this visit wasn't as good as the last.  We had an appetizer of nachos.  The fresh salsa was excellent, the cheese flavorful and plentiful.  I only wish they had an option of adding some kind of meat to the nachos.  For dinner, my daughter had the Jerk Chicken special, my husband had the crab cakes and I had the gumbo with a caesar salad.  The Jerk Chicken would have been good but it was a bit too heavy handed on the pepper.  The pineapple salsa was good but couldn have benefited from fresh pineapple. The crab cakes had a TON of lemon dumped on them (by the chef, not by us), so they were very acidic.  My gumbo had vinegar in it...so much so, that it was inedible.  I have cooked jambalaya and gumbo at home.  I have NEVER used vinegar in it.  It was overpowering and soured my stomach for the rest of the night.  I am sorry Drafting Room...you missed the mark this time.",2016-08-05,NEGATIVE,0.9603528380393982
IYzBKfT_JolGL-MA4STQYA,Three  Flags Tavern,Saint Louis,MO,5,"Not only is this place delicious (brussel sprouts, fried chicken and brisket burger were ON POINT), but the owner?/host? guy is super accomodating--lit up a fire for us out back even though no one had been out there and the weather would've advised against it.

Definitely recommended.

Oh, and those pickles. Get as many of them as you can.",2015-11-05,POSITIVE,0.9984613656997681
-V0vIgo6196MDn_x3ZaYmA,La Creperie Cafe,Philadelphia,PA,4,"Just getting around to writing this review.  We went on Valentines day.  It was real nice with the French atmosphere.  I liked the savory crepes better than the sweet.  We had the Gyro Crepe and the Asiago Crepe, both were delicious.  We didn't try the Nanza but we will go back for that, they are flatbreads on iIndain Nan bread they sound great.  Wee ended on the Crepe suzette.  The service was excellent.  We will go back.",2015-03-05,POSITIVE,0.9997658133506775
gGyqnAlpFrka_qzpO7j4lQ,Citizens Bank Park,Philadelphia,PA,4,"At this stage in my life to finally get to see a ball game at a stadium was a big deal. Husband scored some primo seats in a suite - he knows someone who knows someone type of thing. So we got free parking and just had to walk across the street into the stadium. We Ladies had our bags checked and walked through security. Not knowing where to go the greeters were so friendly and helpful. They let us know that our tickets included a private wine and cheese tasting event before the game. Then as we are walking towards our suite we were approached by servers with appetizers that were delicious.

The food served was great - hoagies made with prosciutto and good Italian salami. Everything to make your own Cheesesteaks. Hot Dogs. Chips. Delicious cookies and cupcakes. Beer, wine and soft drinks.

We had our own server and bartender. There were about three other families in the suite and there were plenty of seats and room to walk around freely. Our own bathroom which was very clean.

Walking through this stadium I could tell it was a special place. Clean and easy to maneuver through. 
Lots of places to buy food and souvenirs.

Can't wait to go back!",2015-06-08,NEGATIVE,0.8387511968612671
aSgAsCVVOhBVk0ci4OQQxA,Lulu' s Pet Grooming,Reno,NV,5,"Outstanding!!  I have a German Shepard that sheds, sheds, and sheds.  They did such a good job that I have not had to vacuum everyday.  They said she could be bathed about every 6 weeks, so look out I will be back with my fur ball.  haha.  They also did a great job on my yellow lab.",2013-09-19,POSITIVE,0.9995562434196472
